S.No.,City,Job,Salary,Company,Expertise,Recruiter
316,Pasadena,Director of Data Science,66767,Eire,SMT,Ralph Barchrameev
317,Burbank,Product Development Manager,64822,Browsetype,Employee Benefits,Portie Aleksahkin
318,Pasadena,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,126716,Gevee,e-QIP,Sherilyn Finnimore
319,El Segundo,"Research Analyst, Perinatal Data Center",68676,Browsecat,FW,Tiffanie Brunotti
320,Los Angeles,Account Executive - Razorfish Health,63870,Eayo,Corporate Identity,Idelle Outright
321,Burbank,Marketing Research Analyst,66505,Edgeblab,Key Account Development,Heddi Wilson
322,Los Angeles,Lead Data Scientist - Video/Images,47047,Dablist,BSR Advance,Tasia Abrahmer
323,El Segundo,"Real World Informatics and Analytics (RWI), Head of Analytic...",87945,Podcat,Piano Education,Sigismundo Limon
324,Plymouth Meeting,Part-time Data Science Instructor,97670,Trupe,ADP HRB,Shannan Davenhill
325,Philadelphia,Data Scientist - Statistics,93252,Shuffledrive,BMV,Giffie Moens
326,Spring House,Research Professional,105583,Voonte,Pre-sales,Mario Jarvie
327,Philadelphia,Senior Statistician,85725,Flipstorm,Slope Stability Analysis,Fonsie Boomes
328,Newtown,Associate Quantitative Research Analyst,70695,Topicshots,CQS,Burch Presdie
329,Philadelphia,Director of Data Science,132884,Eazzy,MS Integration Services,Sidonia Prudham
330,Philadelphia,Corporate Credit Research Analyst,99030,Quinu,UNIX Utilities,Isador Sorbey
331,Atlanta,"Assistant Director, Cloud Analytics Strategy",84138,Vinte,ICH-GCP,Elden Songust
332,Alpharetta,Academic Python Developer,62342,Fadeo,Omega,Pepita Mehaffey
333,Atlanta,Manager / Director of Predictive Modeling,42995,Izio,Outsourcing,Edward Aylwin
334,Atlanta,Construction Manager-Data Center/Mission Critical Facilities,122188,Kazu,PBUSE,Nissie Carbert
335,Atlanta,"Associate Director, Professional Development",84976,Browseblab,Global Delivery,Valry Libbie
336,Atlanta,Senior DevOps Engineer,41025,Ainyx,McAfee Antivirus,Shandra Georgievski
337,Atlanta,Indoor Environmental Data Scientist,86366,Skinix,Target Identification,Siobhan Hurnell
338,Norcross,Data Scientist - Forecasting,67829,Kwilith,Latin American Studies,Evy Robuchon
339,Atlanta,Data Engineer,129570,Edgetag,Brand Development,Blair Loosemore
340,Roswell,"Product Analyst, Data Science",117754,Snaptags,Slovak,Arvie Downing
341,Irving,Software Engineer (Performance & Data),84632,Voomm,WSIB,Isidoro Mitkcov
342,Dallas,Analyst - Sales Ops & Finance,63318,Youopia,Logo Design,Clerissa Falconar
343,Plano,Medical Review Specialist,69620,Thoughtmix,Youth Mentoring,Cesaro Mudie
344,Irving,Data Analyst - Cardiology,40086,Browsezoom,Railway,Margery Grazier
345,Plano,Associate Research Scientist,69939,Quamba,NCQA,Papagena Eadon
346,Irving,Research and Brand Strategy Apprentice,128962,Tagcat,eEmpact,Lance Robey
347,Plano,City Research Scientist II,97000,Flashspan,DTMF,Shell Warbeys
348,Irving,Business Intelligence Engineer,119548,Gabtune,Claims Management,Jobi Khan
349,Plano,Data Engineer,44841,Jayo,Employee Management,Shandeigh Meiklem
350,Pittsburgh,Research Data Associate,79112,Meemm,BPF,Marilin Gowrie
351,Pittsburgh,"Senior Analyst, Quantitative Research",63568,Skipfire,ZFS,Tyson Tokell
352,Pittsburgh,"Research Engineer, Senior",51246,Photolist,Eyewonder,Magdalen Gerrelts
353,Pittsburgh,"Research Analyst - Robotics, AI and Machine Learning",54144,Quimba,Econometrics,Julissa Dossettor
354,Portland,Quantitative Analyst,117970,Gabspot,International Humanitarian Law,Ardath Vasyukhin
355,San Diego,Senior Data Scientist,123495,Feedspan,Blood Typing,Alric Hesser
356,La Jolla,Lead Data Scientist,75611,Mycat,Gym,Rosalinda Bossingham
357,San Diego,Research Analyst,106255,Brightdog,Lync,Artemas Fyers
358,San Diego,Software Engineer/Dev OPS,86476,Zava,Crystal Reports,Blythe Wilford
359,Denver,Marketing Manager,114572,Bubblebox,Systems Analysis,Kathye Skyppe
360,Buckley AFB,Cognitive Software Developer,94017,Zoomlounge,HR Strategy,Gannon Pruvost
361,Boulder,Research Scientist: Control Systems,123443,Livetube,Flight Test,Natassia Capelin
362,Denver,Sr. Business Intelligence Engineer,88806,Bubblemix,GNU Debugger,Nicolis Woodcock
363,Boulder,Quantitative Business Analyst,68391,Brightdog,Multimedia,Flint Pettyfer
364,Boulder,ITS Service Desk Team Lead,101325,Geba,SBA 504,Barnett Hubball
365,Post Falls,Director of Data Science,57860,Dabtype,TM1,Corina Samuels
366,Tampa,Product Development Manager,118559,Feedfish,Motivational Interviewing,Annis Roomes
367,New York,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,81481,Jabbercube,Cisco Technologies,Doralia McGrirl
368,New York,"Research Analyst, Perinatal Data Center",43422,Meezzy,Knee,Eberto Muller
369,New York,Account Executive - Razorfish Health,103921,Voonyx,ABAP-OO,Juieta Royson
370,New York,Marketing Research Analyst,93617,Photobug,Logging,Reinold Dunford
371,New York,Lead Data Scientist - Video/Images,134014,Flipopia,CFTC,Ertha McMichell
372,New York,"Real World Informatics and Analytics (RWI), Head of Analytic...",106484,Aivee,PXRD,Purcell Jaquest
373,New York,Part-time Data Science Instructor,99482,Shuffletag,IxChariot,Georgeanna Grugerr
374,New York,Data Scientist - Statistics,43304,Meevee,Atmel AVR,Belia Benner
375,New York,Research Professional,54485,Abata,General Insurance,Khalil Erat
376,New York,Senior Statistician,108665,Linktype,VNC,Nikolas Lathy
377,New York,Associate Quantitative Research Analyst,84941,Zoovu,Legal Liability,Lebbie Derr
378,New York,Director of Data Science,136058,Skinder,EoMPLS,Elnore Hand
379,New York,Corporate Credit Research Analyst,79915,Browsecat,HR Strategy,Haleigh Coggin
380,New York,"Assistant Director, Cloud Analytics Strategy",121145,Vidoo,Benefits Administration,Gerianna Pacht
381,New York,Academic Python Developer,69222,Thoughtstorm,Navisworks,Daisy Colquite
382,New York,Manager / Director of Predictive Modeling,44844,Vidoo,WDS,Shirlee MacGrath
383,New York,Construction Manager-Data Center/Mission Critical Facilities,50751,Browsetype,Digital Media,Dacy Ughi
384,New York,"Associate Director, Professional Development",49617,Dabvine,Clinical Research,Aurie Burlingham
385,New York,Senior DevOps Engineer,137069,Kazu,JCE,Maje Laborda
386,New York,Indoor Environmental Data Scientist,94411,Quinu,Published Author,Angeli Ranger
387,New York,Data Scientist - Forecasting,129560,Oyoloo,Algorithms,Burnard Pinney
388,New York,Data Engineer,119456,Cogilith,Aircraft Maintenance,Caleb Lynn
389,New York,"Product Analyst, Data Science",78245,Meetz,ESB,Danita McBrearty
390,New York,Software Engineer (Performance & Data),58389,Gigazoom,VMI,Wini McGurk
391,White Plains,Analyst - Sales Ops & Finance,49274,Eadel,JNCIP,Dianna Pinnion
392,New York,Medical Review Specialist,61836,Realcube,FWSM,Devlen Stacey
393,Chicago,Data Analyst - Cardiology,123618,Vidoo,Drums,Rriocard Castane
394,Chicago,Associate Research Scientist,109044,Quatz,Hygiene,Pansie Perrinchief
395,Northbrook,Research and Brand Strategy Apprentice,43175,Midel,HTTPWatch,Georges Jump
396,Chicago,City Research Scientist II,138148,Thoughtblab,XDCAM,Paige Desseine
397,Chicago,Business Intelligence Engineer,130825,Babbleblab,Wheat,Lorens Huikerby
398,Chicago,Data Engineer,100620,Twinder,Yard Work,Orran Seamarke
399,Deerfield,Research Data Associate,51535,Podcat,Medical Nutrition Therapy,Vernice Valenta
400,Chicago,"Senior Analyst, Quantitative Research",78476,Dabjam,JRun,Tuck Trousdale
401,Chicago,"Research Engineer, Senior",66274,Vimbo,Blender,Elene Ramard
402,Chicago,"Research Analyst - Robotics, AI and Machine Learning",112014,Jaxbean,Korean,Lenette Veldstra
403,Northbrook,Quantitative Analyst,92121,Geba,WTX,Heindrick Brimacombe
404,Chicago,Senior Data Scientist,58255,Bluejam,Jet Engines,Ring Trollope
405,Chicago,Lead Data Scientist,113997,Twitterlist,Aquifer Testing,Modesta Durrans
406,Chicago,Research Analyst,83407,Omba,QCAT,Wally Harrigan
407,Evanston,Software Engineer/Dev OPS,56374,Flashpoint,Slogans,Martin Hanlon
408,Chicago,Marketing Manager,93391,Mudo,Eagle PCB,Carolin Trowsdall
409,San Francisco,Cognitive Software Developer,104914,Gigabox,Architectural Design,Gianina Josefer
410,San Francisco,Research Scientist: Control Systems,78574,Skipstorm,Aquatic Ecology,Tammie Shewen
411,San Francisco,Sr. Business Intelligence Engineer,106731,Twimm,Piano,Berny Jeduch
412,San Bruno,Quantitative Business Analyst,85179,Voonyx,Hazard Recognition,Lowrance Quinney
413,San Francisco,ITS Service Desk Team Lead,121811,Gabspot,Offshore Drilling,Hayes Twatt
414,San Francisco,Director of Data Science,106103,Roombo,MbUnit,Casey Punt
415,San Francisco,Product Development Manager,136425,Vidoo,Industrial Ethernet,Titos Jepperson
416,San Francisco,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,80609,Photobean,Reactive Ion Etching,Millard Summerly
417,San Francisco,"Research Analyst, Perinatal Data Center",107656,Browsecat,Luxury,Abagail Jacobssen
418,San Francisco,Account Executive - Razorfish Health,70404,Trudeo,Mining,Godfrey Dubber
419,San Francisco,Marketing Research Analyst,134315,Eabox,Fashion Blogging,Mick Orrah
420,San Francisco,Lead Data Scientist - Video/Images,71432,Roomm,CVE,Dale Curtayne
421,San Francisco,"Real World Informatics and Analytics (RWI), Head of Analytic...",50186,Browsedrive,Urdu,Nehemiah Tumpane
422,San Francisco,Part-time Data Science Instructor,85262,Ailane,PPP,Rheta Elt
423,Portland,Data Scientist - Statistics,96688,Wordtune,People Management,Kandy Liquorish
424,Portland,Research Professional,95082,Aivee,GSX,Ian Churchouse
425,Issaquah,Senior Statistician,46179,Rhynyx,IMS DB/DC,Jerrine Cavalier
426,Bellevue,Associate Quantitative Research Analyst,101709,Voolith,UHV,Myrna Minnock
427,Seattle,Director of Data Science,127263,Trunyx,Events Coordination,Allissa Kalkhoven
428,Bellevue,Corporate Credit Research Analyst,116989,Realmix,PFTrack,Aprilette Whitnell
429,Seattle,"Assistant Director, Cloud Analytics Strategy",54765,Abata,GC-FID,Karissa Naptin
430,Bellevue,Academic Python Developer,76297,Skimia,VRU,Neal Grasner
431,Seattle,Manager / Director of Predictive Modeling,82839,Oyope,MicroStation,Bartolemo Kendle
432,Seattle,Construction Manager-Data Center/Mission Critical Facilities,100815,Skyble,Scanning Electron Microscopy,Kendell Kusick
433,Seattle,"Associate Director, Professional Development",47071,Thoughtblab,RC Detailing,Cam Warlowe
434,Seattle,Senior DevOps Engineer,90428,Kwilith,IAR Embedded Workbench,Kacie Gilphillan
435,Seattle,Indoor Environmental Data Scientist,106819,Jaxworks,IEEE,Antonina Borrington
436,Seattle,Data Scientist - Forecasting,103020,Tagpad,Financial Audits,Sara Vassel
437,Chatsworth,Data Engineer,55928,Zoovu,cGMP manufacturing,Francisca Lody
438,Pasadena,"Product Analyst, Data Science",131703,Thoughtsphere,CADS RC,Andreana Wills
439,Burbank,Software Engineer (Performance & Data),132125,Fiveclub,Zyxel,Bliss Whitnell
440,Pasadena,Analyst - Sales Ops & Finance,45151,DabZ,VTC,Winnie Coleiro
441,El Segundo,Medical Review Specialist,57862,Aimbu,Hydrogeology,Darlene Loisi
442,Los Angeles,Data Analyst - Cardiology,85379,Dynava,Patrol,Cassondra Wallage
443,Burbank,Associate Research Scientist,98230,Dazzlesphere,RMIS,Jerald Huddles
444,Los Angeles,Research and Brand Strategy Apprentice,122320,Topicware,Fleet Management,Kerwin Levin
445,El Segundo,City Research Scientist II,107960,Skyndu,PMM,Madeline Grieve
446,Plymouth Meeting,Business Intelligence Engineer,47418,Skinix,Digital Signal Processors,Hansiain Schlagh
447,Philadelphia,Data Engineer,98429,Teklist,Finance,Golda Burgise
448,Spring House,Research Data Associate,124676,Edgeify,Cyberlaw,Tricia Peaddie
449,Philadelphia,"Senior Analyst, Quantitative Research",78468,Youopia,QMF,Garrard Billson
450,Newtown,"Research Engineer, Senior",92156,Skibox,Data Modeling,Kippie Ribey
